Entity ID,Entity Name,Entity Type,Family Name,Source of Wealth,AUM (USD),AUM Confidence,Year Established,Website,HQ City,HQ Country,Discovery Source,Enrichment Status,P1 Name,P1 Title,P1 LinkedIn,P2 Name,P2 Title,P2 LinkedIn,Email,Phone,LinkedIn (Contact),Signal Count,Signal Types,Inclusion Evidence,Created At,Updated At
SFO-001,Walton Enterprises LLC,SFO,Walton,Walmart (retail),,Undisclosed,1953,,Bentonville,United States,press_rankings,pending,Jim C. Walton,Chairman,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"philanthropy, portfolio_holdings",Unbiased.com and Altss.com rank Walton Enterprises as the largest family office globally by AUM. Jim C. Walton serves as Chairman. SEC filings and corporate records confirm single-family structure with no external clients.,2026-07-30 20:18:26.910117+00:00,2026-07-30 20:18:26.910120+00:00
SFO-002,Excession LLC,SFO,Musk,"Tesla, SpaceX, xAI, Neuralink (technology)",,Undisclosed,2016,,Austin,United States,press_coverage,pending,Jared Birchall,Managing Director,https://linkedin.com/in/jared-birchall-8601444 [verified],,,— [unresolved],— [unresolved],— [unresolved],https://linkedin.com/in/jared-birchall-8601444 [verified],2,recent_investment,"Bloomberg, NYT, and Forbes confirm Excession LLC is Elon Musk's personal family office. Jared Birchall serves as Managing Director and is also CEO of Neuralink and CFO of The Boring Company. No public website. Single-beneficiary structure confirmed via multiple press sources.",2026-07-30 20:18:26.910664+00:00,2026-07-30 20:18:26.910666+00:00
SFO-003,"Cascade Investment, L.L.C.",SFO,Gates,Microsoft Corporation (technology),,Undisclosed,1994,,Kirkland,United States,official_website,pending,Michael Larson,Chief Investment Officer & Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"portfolio_holdings, board_position","Cascade Asset Management official website confirms Michael Larson as founder and CIO managing Bill Gates' personal assets. SEC Form 13F-HR filings list Cascade Investment, L.L.C. as reporting entity. Single-beneficiary structure with no external clients confirmed across multiple authoritative sources.",2026-07-30 20:18:26.910970+00:00,2026-07-30 20:18:26.910973+00:00
SFO-004,Bezos Expeditions,SFO,Bezos,Amazon (technology/e-commerce),,Undisclosed,2005,,Mercer Island,United States,official_website,pending,Stephen Campbell,Chief Investment Officer,— [unresolved],Melinda Lewison,Managing Director,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, recent_investment","Press coverage confirms Bezos Expeditions is Jeff Bezos' personal family office. Stephen Campbell serves as CIO (previously CEO at Capital Stream). Melinda Lewison serves as Managing Director (Princeton graduate, runs investment arm). No public website found. SEC 13F filings confirm reporting entity. Multi-source verified across press, LinkedIn, and regulatory filings.",2026-07-30 20:18:26.911374+00:00,2026-07-30 20:18:26.911376+00:00
SFO-005,Bayshore Global Management LLC,SFO,Brin,Google/Alphabet (technology),,Undisclosed,2005,,Palo Alto,United States,press_coverage,pending,George Pavlov,Chief Executive Officer,— [unresolved],Marie Young,Chief Investment Officer,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"personnel_change, office_expansion, recent_investment",Bloomberg and Puck News confirm Bayshore Global Management is Sergey Brin's family office. George Pavlov serves as CEO since 2015. Marie Young serves as CIO since 2022 (ex-Goldman Sachs). Singapore office opened 2020. No public website. Third-party estimates suggest ~$100B AUM but undisclosed officially.,2026-07-30 20:18:26.911768+00:00,2026-07-30 20:18:26.911771+00:00
SFO-006,Mousse Partners Limited,SFO,Wertheimer,Chanel (luxury goods),,Undisclosed,1991,,New York,United States,press_coverage,pending,Charles Heilbronn,Chairman,— [unresolved],Suzi Kwon Cohen,Chief Investment Officer (stepping down June 2026),https://linkedin.com/in/suzi-kwon-cohen [verified],— [unresolved],— [unresolved],https://linkedin.com/in/suzi-kwon-cohen [verified],3,"office_expansion, portfolio_holdings, personnel_change","Bloomberg and FA-Mag confirm Mousse Partners is the Wertheimer family office (Chanel owners). Charles Heilbronn serves as Chairman (founder, half-brother of Alain and Gerard Wertheimer). Suzi Kwon Cohen served as CIO until June 2026 (departure announced January 2026). Manages Chanel dividends ($4.98B in 2021). Offices in NYC, Beijing, Hong Kong.",2026-07-30 20:18:26.912558+00:00,2026-07-30 20:18:26.912561+00:00
SFO-007,Ballmer Group,SFO,Ballmer,Microsoft (technology),,Undisclosed,2015,https://ballmergroup.org,Bellevue,United States,official_website,pending,Steve Ballmer,Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"philanthropy, recent_investment, sports_ownership",Official website confirms Ballmer Group is Steve Ballmer's family office and philanthropic vehicle. Also owns LA Clippers (NBA) and runs USAFacts. Single-family structure confirmed via press and philanthropic filings.,2026-07-30 20:18:26.912911+00:00,2026-07-30 20:18:26.912913+00:00
SFO-008,Waycrosse Inc.,SFO,Thomson,Thomson Reuters (media/financial data),,Undisclosed,1980,,Toronto,Canada,press_rankings,pending,David Thomson,Chairman,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, recent_investment",Unbiased.com and corporate filings confirm Waycrosse Inc. is the Thomson family office (Reuters). David Thomson serves as Chairman. Corporate filings and press confirm single-family structure managing wealth from Thomson Reuters stake.,2026-07-30 20:18:26.913198+00:00,2026-07-30 20:18:26.913200+00:00
SFO-009,Pontegadea Inversiones,SFO,Ortega,Inditex/Zara (retail/fashion),,Undisclosed,2001,,La Coruna,Spain,press_rankings,pending,Amancio Ortega,Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"real_estate, portfolio_holdings",Unbiased.com and Spanish corporate filings confirm Pontegadea Inversiones is Amancio Ortega's family office. Manages dividends from Inditex (Zara parent). Heavy real estate focus. Single-family structure confirmed via press and corporate records.,2026-07-30 20:18:26.913494+00:00,2026-07-30 20:18:26.913496+00:00
SFO-010,Emerson Collective,SFO,Powell Jobs,Apple (technology),,Undisclosed,2004,https://emersoncollective.com,Palo Alto,United States,official_website,pending,Laurene Powell Jobs,Founder & President,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"philanthropy, media_investment","Official website confirms Emerson Collective is Laurene Powell Jobs' family office and philanthropic organization. Focus on education, immigration reform, social justice, and media (The Atlantic, Axios stake). Single-family structure confirmed via press and philanthropic filings.",2026-07-30 20:18:26.913744+00:00,2026-07-30 20:18:26.913751+00:00
SFO-011,Soros Fund Management,SFO,Soros,Quantum Fund (hedge fund/finance),,Undisclosed,1969,,New York,United States,press_rankings,pending,Dawn Fitzpatrick,Chief Executive Officer & Chief Investment Officer,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"philanthropy, portfolio_holdings, personnel_change","Unbiased.com and press confirm Soros Fund Management is the Soros family office. Dawn Fitzpatrick serves as CEO & CIO. Originally a hedge fund, converted to family office structure managing Soros family wealth and Open Society Foundations assets. Single-family structure confirmed via SEC filings and press.",2026-07-30 20:18:26.913973+00:00,2026-07-30 20:18:26.913975+00:00
SFO-012,Euclidean Capital,SFO,Simons,Renaissance Technologies (quantitative finance),,Undisclosed,2009,,New York,United States,press_rankings,pending,James Simons,Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"philanthropy, recent_investment",Unbiased.com and press confirm Euclidean Capital is James Simons' family office. Manages personal wealth outside Renaissance Technologies. Named after Euclid. Single-family structure confirmed via press and foundation filings.,2026-07-30 20:18:26.914125+00:00,2026-07-30 20:18:26.914126+00:00
SFO-013,Builders Vision,SFO,Walton,Walmart (retail),,Undisclosed,2021,https://buildersvision.com,Chicago,United States,professional_directory,pending,Lukas Walton,Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"impact_investing, recent_investment","FINTRX and official website confirm Builders Vision is Lukas Walton's family office. Spun out from Walton Family Foundation. Focus on sustainable food, agriculture, energy, and oceans. Single-family structure confirmed via press and directory records.",2026-07-30 20:18:26.914293+00:00,2026-07-30 20:18:26.914295+00:00
